date,state,checkins,unique_ind,unique_loc
2021-01-05,Selangor,4129037,2001245,134711
2021-01-05,Terengganu,229971,127444,14116
2021-01-05,W.P. KualaLumpur,3494846,1605221,93230
2021-01-05,W.P. Labuan,54696,23850,1865
2021-01-05,W.P. Putrajaya,204893,120096,2618
2021-01-06,Johor,2089064,905294,85243
2021-01-06,Kedah,720450,374585,33894
2021-01-06,Kelantan,226286,128799,16122
2021-01-06,Melaka,581784,259495,22226
2021-01-06,Negeri Sembilan,628476,303063,23707
2021-01-06,Pahang,571348,263297,22634
2021-01-06,Perak,1165261,528568,49867
2021-01-06,Perlis,165333,103861,8246
2021-01-06,Pulau Pinang,1242665,570189,45329
2021-01-06,Sabah,880854,350255,34967
2021-01-06,Sarawak,1339994,506555,38544
2021-01-06,Selangor,4326154,2057583,135829
2021-01-06,Terengganu,223931,124538,13743
2021-01-06,W.P. KualaLumpur,3722210,1662250,94602
2021-01-06,W.P. Labuan,60298,26968,1943
2021-01-06,W.P. Putrajaya,211064,124076,2639
2021-01-07,Johor,2029425,897601,84138
2021-01-07,Kedah,761869,389856,34996
2021-01-07,Kelantan,241285,136012,16204
2021-01-07,Melaka,586860,262536,22412
2021-01-07,Negeri Sembilan,632250,307415,23707
2021-01-07,Pahang,631132,280338,24237
2021-01-07,Perak,1171479,534326,51132
