"date","state","cases_imported","cases_imported_total"
2020-10-08,"KEDAH",0,6
2020-10-08,"PULAU PINANG",0,0
2020-10-08,"PERAK",0,6
2020-10-08,"SELANGOR",0,267
2020-10-08,"NEGERI SEMBILAN",0,157
2020-10-08,"MELAKA",0,40
2020-10-08,"JOHOR",0,54
2020-10-08,"PAHANG",0,5
2020-10-08,"TERENGGANU",0,1
2020-10-08,"KELANTAN",0,3
2020-10-08,"SABAH",0,30
2020-10-08,"SARAWAK",2,57
2020-10-08,"WP KUALA LUMPUR",2,338
2020-10-08,"WP PUTRAJAYA",0,14
2020-10-08,"WP LABUAN",0,6
2020-10-09,"PERLIS",0,0
2020-10-09,"KEDAH",0,6
2020-10-09,"PULAU PINANG",0,0
2020-10-09,"PERAK",0,6
2020-10-09,"SELANGOR",0,267
2020-10-09,"NEGERI SEMBILAN",0,157
2020-10-09,"MELAKA",0,40
2020-10-09,"JOHOR",0,54
2020-10-09,"PAHANG",0,5
2020-10-09,"TERENGGANU",0,1
2020-10-09,"KELANTAN",0,3
2020-10-09,"SABAH",0,30
2020-10-09,"SARAWAK",0,57
2020-10-09,"WP KUALA LUMPUR",2,340
2020-10-09,"WP PUTRAJAYA",0,14
2020-10-09,"WP LABUAN",0,6
2020-10-10,"PERLIS",0,0
2020-10-10,"KEDAH",0,6
2020-10-10,"PULAU PINANG",0,0
2020-10-10,"PERAK",0,6
2020-10-10,"SELANGOR",0,267
2020-10-10,"NEGERI SEMBILAN",0,157
2020-10-10,"MELAKA",0,40
2020-10-10,"JOHOR",0,54
2020-10-10,"PAHANG",0,5
2020-10-10,"TERENGGANU",0,1
2020-10-10,"KELANTAN",0,3
2020-10-10,"SABAH",0,30
2020-10-10,"SARAWAK",0,57
2020-10-10,"WP KUALA LUMPUR",2,342
2020-10-10,"WP PUTRAJAYA",0,14
2020-10-10,"WP LABUAN",0,6
2020-10-11,"PERLIS",0,0
2020-10-11,"KEDAH",0,6
2020-10-11,"PULAU PINANG",0,0
2020-10-11,"PERAK",0,6
2020-10-11,"SELANGOR",0,267
2020-10-11,"NEGERI SEMBILAN",0,157
2020-10-11,"MELAKA",0,40
2020-10-11,"JOHOR",0,54
2020-10-11,"PAHANG",0,5
2020-10-11,"TERENGGANU",0,1
2020-10-11,"KELANTAN",0,3
2020-10-11,"SABAH",0,30
2020-10-11,"SARAWAK",0,57
2020-10-11,"WP KUALA LUMPUR",0,342
2020-10-11,"WP PUTRAJAYA",0,14
2020-10-11,"WP LABUAN",0,6
2020-10-12,"PERLIS",0,0
2020-10-12,"KEDAH",0,6
2020-10-12,"PULAU PINANG",0,0
2020-10-12,"PERAK",0,6
2020-10-12,"SELANGOR",0,267
2020-10-12,"NEGERI SEMBILAN",0,157
2020-10-12,"MELAKA",0,40
2020-10-12,"JOHOR",0,54
2020-10-12,"PAHANG",0,5
2020-10-12,"TERENGGANU",0,1
2020-10-12,"KELANTAN",0,3
